dependencia_original,decreto,fecha_decreto,factura,fecha_factura,modelo_original,serie_original,valor_clp,pagina_pdf,tabla,fila_tabla,id_fila,dependencia,familia,rbd,serie,observacion
Escuela Volcán Llaima,265,2020-09-16,1220,2020-08-13,TABLET HUAWEI MEDIAPAD T3 7”,8JUBB20302214156,82367,39,1.0,12.0,no_habidos_39_1_12,Volcán Llaima,Huawei T3,19927,8JUBB20302214156,10.a
Escuela Volcán Llaima,265,2020-09-16,1220,2020-08-13,TABLET HUAWEI MEDIAPAD T3 7”,8JUBB20302214152,82367,39,1.0,13.0,no_habidos_39_1_13,Volcán Llaima,Huawei T3,19927,8JUBB20302214152,10.a
Escuela Volcán Llaima,265,2020-09-16,1220,2020-08-13,TABLET HUAWEI MEDIAPAD T3 7”,8JUBB20302214147,82367,39,1.0,14.0,no_habidos_39_1_14,Volcán Llaima,Huawei T3,19927,8JUBB20302214147,10.a
Escuela Volcán Llaima,265,2020-09-16,1220,2020-08-13,TABLET HUAWEI MEDIAPAD T3 7”,8JUBB20302214132,82367,39,1.0,15.0,no_habidos_39_1_15,Volcán Llaima,Huawei T3,19927,8JUBB20302214132,10.a
Escuela Volcán Llaima,266,2020-09-16,1221,2020-08-13,TABLET HUAWEI MEDIAPAD T3 7”,8JUBB20302213838,82367,39,1.0,16.0,no_habidos_39_1_16,Volcán Llaima,Huawei T3,19927,8JUBB20302213838,10.a
Escuela Volcán Llaima,266,2020-09-16,1221,2020-08-13,TABLET HUAWEI MEDIAPAD T3 7”,8JUBB20302212205,82367,39,1.0,17.0,no_habidos_39_1_17,Volcán Llaima,Huawei T3,19927,8JUBB20302212205,10.a
Escuela Volcán Llaima,266,2020-09-16,1221,2020-08-13,TABLET HUAWEI MEDIAPAD T3 7”,8JUBB20302212197,82367,39,1.0,18.0,no_habidos_39_1_18,Volcán Llaima,Huawei T3,19927,8JUBB20302212197,10.a
Escuela Volcán Llaima,266,2020-09-16,1221,2020-08-13,TABLET HUAWEI MEDIAPAD T3 7”,8JUBB20302212195,82367,39,1.0,19.0,no_habidos_39_1_19,Volcán Llaima,Huawei T3,19927,8JUBB20302212195,10.a
Escuela Volcán Llaima,266,2020-09-16,1221,2020-08-13,TABLET HUAWEI MEDIAPAD T3 7”,8JUBB20302212192,82367,39,1.0,20.0,no_habidos_39_1_20,Volcán Llaima,Huawei T3,19927,8JUBB20302212192,10.a
Escuela Volcán Llaima,266,2020-09-16,1221,2020-08-13,TABLET HUAWEI MEDIAPAD T3 7”,8JUBB20302212182,82367,39,1.0,21.0,no_habidos_39_1_21,Volcán Llaima,Huawei T3,19927,8JUBB20302212182,10.a
Escuela Volcán Llaima,266,2020-09-16,1221,2020-08-13,TABLET HUAWEI MEDIAPAD T3 7”,8JUBB20302212181,82367,39,1.0,22.0,no_habidos_39_1_22,Volcán Llaima,Huawei T3,19927,8JUBB20302212181,10.a
Escuela Volcán Llaima,266,2020-09-16,1221,2020-08-13,TABLET HUAWEI MEDIAPAD T3 7”,QQ15B92W09,82367,39,1.0,23.0,no_habidos_39_1_23,Volcán Llaima,Huawei T3,19927,QQ15B92W09,10.a
Fundo Molulco,382,2020-12-24,9615,2020-12-10,TABLET LENOVO TAB M8 2GB WIFI 8 ZA5H0070CL,N° serie no identificado,151544,39,1.0,24.0,no_habidos_39_1_24,Fundo Molulco,Lenovo M8,6011,,10.a
Fundo Molulco,382,2020-12-24,9615,2020-12-10,TABLET LENOVO TAB M8 2GB WIFI 8 ZA5H0070CL,N° serie no identificado,151544,39,1.0,25.0,no_habidos_39_1_25,Fundo Molulco,Lenovo M8,6011,,10.a
Fundo Molulco,382,2020-12-24,9615,2020-12-10,TABLET LENOVO TAB M8 2GB WIFI 8 ZA5H0070CL,N° serie no identificado,151544,39,1.0,26.0,no_habidos_39_1_26,Fundo Molulco,Lenovo M8,6011,,10.a
Fundo Molulco,382,2020-12-24,9615,2020-12-10,TABLET LENOVO TAB M8 2GB WIFI 8 ZA5H0070CL,N° serie no identificado,151544,40,2.0,2.0,no_habidos_40_2_2,Fundo Molulco,Lenovo M8,6011,,10.a
Carén,397,2020-12-30,7908,2020-04-06,MLAB TABLET QUAD CORE UNIDAD,N° serie no identificado,44971,40,2.0,3.0,no_habidos_40_2_3,Carén,Mlab 7,6017,,10.a
Carén,397,2020-12-30,7908,2020-04-06,MLAB TABLET QUAD CORE UNIDAD,N° serie no identificado,44971,40,2.0,4.0,no_habidos_40_2_4,Carén,Mlab 7,6017,,10.a
Carén,397,2020-12-30,7908,2020-04-06,MLAB TABLET QUAD CORE UNIDAD,N° serie no identificado,44971,40,2.0,5.0,no_habidos_40_2_5,Carén,Mlab 7,6017,,10.a
Carén,397,2020-12-30,7908,2020-04-06,MLAB TABLET QUAD CORE UNIDAD,N° serie no identificado,44971,40,2.0,6.0,no_habidos_40_2_6,Carén,Mlab 7,6017,,10.a
Carén,397,2020-12-30,7908,2020-04-06,MLAB TABLET QUAD CORE UNIDAD,N° serie no identificado,44971,40,2.0,7.0,no_habidos_40_2_7,Carén,Mlab 7,6017,,10.a
Carén,397,2020-12-30,7908,2020-04-06,MLAB TABLET QUAD CORE UNIDAD,N° serie no identificado,44971,40,2.0,8.0,no_habidos_40_2_8,Carén,Mlab 7,6017,,10.a
Carén,397,2020-12-30,7908,2020-04-06,MLAB TABLET QUAD CORE UNIDAD,N° serie no identificado,44971,40,2.0,9.0,no_habidos_40_2_9,Carén,Mlab 7,6017,,10.a
Cumcumllaque,401,2020-12-30,7907,2020-04-06,MLAB TABLET QUAD CORE,N° serie no identificado,44971,40,2.0,10.0,no_habidos_40_2_10,Cumcumllaque,Mlab 7,6012,,10.a
Cumcumllaque,401,2020-12-30,7907,2020-04-06,MLAB TABLET QUAD CORE,N° serie no identificado,44971,40,2.0,11.0,no_habidos_40_2_11,Cumcumllaque,Mlab 7,6012,,10.a
Cumcumllaque,401,2020-12-30,7907,2020-04-06,MLAB TABLET QUAD CORE,N° serie no identificado,44971,40,2.0,12.0,no_habidos_40_2_12,Cumcumllaque,Mlab 7,6012,,10.a
Cumcumllaque,401,2020-12-30,7907,2020-04-06,MLAB TABLET QUAD CORE,N° serie no identificado,44971,40,2.0,13.0,no_habidos_40_2_13,Cumcumllaque,Mlab 7,6012,,10.a
Cumcumllaque,401,2020-12-30,7907,2020-04-06,MLAB TABLET QUAD CORE,N° serie no identificado,44971,40,2.0,14.0,no_habidos_40_2_14,Cumcumllaque,Mlab 7,6012,,10.a
Cumcumllaque,401,2020-12-30,7907,2020-04-06,MLAB TABLET QUAD CORE,N° serie no identificado,44971,40,2.0,15.0,no_habidos_40_2_15,Cumcumllaque,Mlab 7,6012,,10.a
Cumcumllaque,401,2020-12-30,7907,2020-04-06,MLAB TABLET QUAD CORE,N° serie no identificado,44971,40,2.0,16.0,no_habidos_40_2_16,Cumcumllaque,Mlab 7,6012,,10.a
Cumcumllaque,401,2020-12-30,7907,2020-04-06,MLAB TABLET QUAD CORE,N° serie no identificado,44971,40,2.0,17.0,no_habidos_40_2_17,Cumcumllaque,Mlab 7,6012,,10.a
Cumcumllaque,401,2020-12-30,7907,2020-04-06,MLAB TABLET QUAD CORE,N° serie no identificado,44971,40,2.0,18.0,no_habidos_40_2_18,Cumcumllaque,Mlab 7,6012,,10.a
Cumcumllaque,401,2020-12-30,7907,2020-04-06,MLAB TABLET QUAD CORE,N° serie no identificado,44971,40,2.0,19.0,no_habidos_40_2_19,Cumcumllaque,Mlab 7,6012,,10.a
Cumcumllaque,401,2020-12-30,7907,2020-04-06,MLAB TABLET QUAD CORE,N° serie no identificado,44971,40,2.0,20.0,no_habidos_40_2_20,Cumcumllaque,Mlab 7,6012,,10.a
Cumcumllaque,401,2020-12-30,7907,2020-04-06,MLAB TABLET QUAD CORE,N° serie no identificado,44971,40,2.0,21.0,no_habidos_40_2_21,Cumcumllaque,Mlab 7,6012,,10.a
Cumcumllaque,401,2020-12-30,7907,2020-04-06,MLAB TABLET QUAD CORE,N° serie no identificado,44971,40,2.0,22.0,no_habidos_40_2_22,Cumcumllaque,Mlab 7,6012,,10.a
Cumcumllaque,401,2020-12-30,7907,2020-04-06,MLAB TABLET QUAD CORE,N° serie no identificado,44971,40,2.0,23.0,no_habidos_40_2_23,Cumcumllaque,Mlab 7,6012,,10.a
Cumcumllaque,401,2020-12-30,7907,2020-04-06,MLAB TABLET QUAD CORE,N° serie no identificado,44971,40,2.0,24.0,no_habidos_40_2_24,Cumcumllaque,Mlab 7,6012,,10.a
Cumcumllaque,401,2020-12-30,7907,2020-04-06,MLAB TABLET QUAD CORE,N° serie no identificado,44971,40,2.0,25.0,no_habidos_40_2_25,Cumcumllaque,Mlab 7,6012,,10.a
Cumcumllaque,401,2020-12-30,7907,2020-04-06,MLAB TABLET QUAD CORE,N° serie no identificado,44971,40,2.0,26.0,no_habidos_40_2_26,Cumcumllaque,Mlab 7,6012,,10.a
Cumcumllaque,401,2020-12-30,7907,2020-04-06,MLAB TABLET QUAD CORE,N° serie no identificado,44971,40,2.0,27.0,no_habidos_40_2_27,Cumcumllaque,Mlab 7,6012,,10.a
Cumcumllaque,401,2020-12-30,7907,2020-04-06,MLAB TABLET QUAD CORE,N° serie no identificado,44971,41,3.0,2.0,no_habidos_41_3_2,Cumcumllaque,Mlab 7,6012,,10.a
Cumcumllaque,401,2020-12-30,7907,2020-04-06,MLAB TABLET QUAD CORE,N° serie no identificado,44971,41,3.0,3.0,no_habidos_41_3_3,Cumcumllaque,Mlab 7,6012,,10.a
Cumcumllaque,401,2020-12-30,7907,2020-04-06,MLAB TABLET QUAD CORE,N° serie no identificado,44971,41,3.0,4.0,no_habidos_41_3_4,Cumcumllaque,Mlab 7,6012,,10.a
Cumcumllaque,401,2020-12-30,7907,2020-04-06,MLAB TABLET QUAD CORE,N° serie no identificado,44971,41,3.0,5.0,no_habidos_41_3_5,Cumcumllaque,Mlab 7,6012,,10.a
Molulco,120,2021-05-18,200597,2021-04-22,TABLET SAMSUNG GALAXY T505 TAB A7 10.4” 32 GB LTE,N° serie no identificado,309400,41,3.0,6.0,no_habidos_41_3_6,Molulco,Samsung A7,6009,,10.a
Liceo Los Andes,143,2021-06-03,427,2021-05-04,GALAXY TABLET A 8 2019 LTE,N° serie no identificado,148631,41,3.0,7.0,no_habidos_41_3_7,Los Andes,Samsung A8/T295,6007,,10.a
Liceo Los Andes,143,2021-06-03,427,2021-05-04,GALAXY TABLET A 8 2019 LTE,N° serie no identificado,148631,41,3.0,8.0,no_habidos_41_3_8,Los Andes,Samsung A8/T295,6007,,10.a
Liceo Los Andes,143,2021-06-03,427,2021-05-04,GALAXY TABLET A 8 2019 LTE,N° serie no identificado,148631,41,3.0,9.0,no_habidos_41_3_9,Los Andes,Samsung A8/T295,6007,,10.a
Liceo Los Andes,143,2021-06-03,427,2021-05-04,GALAXY TABLET A 8 2019 LTE,N° serie no identificado,148631,41,3.0,10.0,no_habidos_41_3_10,Los Andes,Samsung A8/T295,6007,,10.a
Liceo Los Andes,143,2021-06-03,427,2021-05-04,GALAXY TABLET A 8 2019 LTE,N° serie no identificado,148631,41,3.0,11.0,no_habidos_41_3_11,Los Andes,Samsung A8/T295,6007,,10.a
Liceo Los Andes,143,2021-06-03,427,2021-05-04,GALAXY TABLET A 8 2019 LTE,N° serie no identificado,148631,41,3.0,12.0,no_habidos_41_3_12,Los Andes,Samsung A8/T295,6007,,10.a
Liceo Los Andes,143,2021-06-03,427,2021-05-04,GALAXY TABLET A 8 2019 LTE,N° serie no identificado,148631,41,3.0,13.0,no_habidos_41_3_13,Los Andes,Samsung A8/T295,6007,,10.a
Liceo Los Andes,143,2021-06-03,427,2021-05-04,GALAXY TABLET A 8 2019 LTE,N° serie no identificado,148631,41,3.0,14.0,no_habidos_41_3_14,Los Andes,Samsung A8/T295,6007,,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,355041990295979,130900,41,3.0,15.0,no_habidos_41_3_15,Volcán Llaima,Samsung A8/T295,19927,355041990295979,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,355041990293891,130900,41,3.0,16.0,no_habidos_41_3_16,Volcán Llaima,Samsung A8/T295,19927,355041990293891,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,355041992257936,130900,41,3.0,17.0,no_habidos_41_3_17,Volcán Llaima,Samsung A8/T295,19927,355041992257936,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,355041992257621,130900,41,3.0,18.0,no_habidos_41_3_18,Volcán Llaima,Samsung A8/T295,19927,355041992257621,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,355041992254750,130900,41,3.0,19.0,no_habidos_41_3_19,Volcán Llaima,Samsung A8/T295,19927,355041992254750,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,355041992248364,130900,41,3.0,20.0,no_habidos_41_3_20,Volcán Llaima,Samsung A8/T295,19927,355041992248364,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,359041992249610,130900,41,3.0,21.0,no_habidos_41_3_21,Volcán Llaima,Samsung A8/T295,19927,359041992249610,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,355041992250782,130900,41,3.0,22.0,no_habidos_41_3_22,Volcán Llaima,Samsung A8/T295,19927,355041992250782,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,358893199669868,130900,41,3.0,23.0,no_habidos_41_3_23,Volcán Llaima,Samsung A8/T295,19927,358893199669868,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,355041990295268,130900,41,3.0,24.0,no_habidos_41_3_24,Volcán Llaima,Samsung A8/T295,19927,355041990295268,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,355041992254966,130900,41,3.0,25.0,no_habidos_41_3_25,Volcán Llaima,Samsung A8/T295,19927,355041992254966,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,355041992250931,130900,41,3.0,26.0,no_habidos_41_3_26,Volcán Llaima,Samsung A8/T295,19927,355041992250931,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,355041990288198,130900,41,3.0,27.0,no_habidos_41_3_27,Volcán Llaima,Samsung A8/T295,19927,355041990288198,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,355041990294980,130900,42,4.0,2.0,no_habidos_42_4_2,Volcán Llaima,Samsung A8/T295,19927,355041990294980,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,355041992247200,130900,42,4.0,3.0,no_habidos_42_4_3,Volcán Llaima,Samsung A8/T295,19927,355041992247200,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,355041992252465,130900,42,4.0,4.0,no_habidos_42_4_4,Volcán Llaima,Samsung A8/T295,19927,355041992252465,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,355041990295110,130900,42,4.0,5.0,no_habidos_42_4_5,Volcán Llaima,Samsung A8/T295,19927,355041990295110,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,355041992259486,130900,42,4.0,6.0,no_habidos_42_4_6,Volcán Llaima,Samsung A8/T295,19927,355041992259486,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,355041990296753,130900,42,4.0,7.0,no_habidos_42_4_7,Volcán Llaima,Samsung A8/T295,19927,355041990296753,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,355041992257068,130900,42,4.0,8.0,no_habidos_42_4_8,Volcán Llaima,Samsung A8/T295,19927,355041992257068,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,355041992250063,130900,42,4.0,9.0,no_habidos_42_4_9,Volcán Llaima,Samsung A8/T295,19927,355041992250063,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,355041992254677,130900,42,4.0,10.0,no_habidos_42_4_10,Volcán Llaima,Samsung A8/T295,19927,355041992254677,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,355041992257084,130900,42,4.0,11.0,no_habidos_42_4_11,Volcán Llaima,Samsung A8/T295,19927,355041992257084,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,355041992257076,130900,42,4.0,12.0,no_habidos_42_4_12,Volcán Llaima,Samsung A8/T295,19927,355041992257076,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,355041992254982,130900,42,4.0,13.0,no_habidos_42_4_13,Volcán Llaima,Samsung A8/T295,19927,355041992254982,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,355041992246038,130900,42,4.0,14.0,no_habidos_42_4_14,Volcán Llaima,Samsung A8/T295,19927,355041992246038,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,355041992257662,130900,42,4.0,15.0,no_habidos_42_4_15,Volcán Llaima,Samsung A8/T295,19927,355041992257662,10.a
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,TABLET SAMSUNG GALAXY 8 TAB 4G LTE,355041992246079,130900,42,4.0,16.0,no_habidos_42_4_16,Volcán Llaima,Samsung A8/T295,19927,355041992246079,10.a
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,GALAXY TAB A8 2019 LTE/ T295 SILVER,355041991226635,142681,42,4.0,17.0,no_habidos_42_4_17,Volcán Llaima,Samsung A8/T295,19927,355041991226635,10.a
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,GALAXY TAB A8 2019 LTE/ T295 SILVER,355041991227260,142681,42,4.0,18.0,no_habidos_42_4_18,Volcán Llaima,Samsung A8/T295,19927,355041991227260,10.a
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,GALAXY TAB A8 2019 LTE/ T295 SILVER,355041991227641,142681,42,4.0,19.0,no_habidos_42_4_19,Volcán Llaima,Samsung A8/T295,19927,355041991227641,10.a
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,GALAXY TAB A8 2019 LTE/ T295 SILVER,355041991227849,142681,42,4.0,20.0,no_habidos_42_4_20,Volcán Llaima,Samsung A8/T295,19927,355041991227849,10.a
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,GALAXY TAB A8 2019 LTE/ T295 SILVER,355041991228474,142681,42,4.0,21.0,no_habidos_42_4_21,Volcán Llaima,Samsung A8/T295,19927,355041991228474,10.a
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,GALAXY TAB A8 2019 LTE/ T295 SILVER,355041991228524,142681,42,4.0,22.0,no_habidos_42_4_22,Volcán Llaima,Samsung A8/T295,19927,355041991228524,10.a
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,GALAXY TAB A8 2019 LTE/ T295 SILVER,355041991228896,142681,42,4.0,23.0,no_habidos_42_4_23,Volcán Llaima,Samsung A8/T295,19927,355041991228896,10.a
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,GALAXY TAB A8 2019 LTE/ T295 SILVER,355041991229985,142681,42,4.0,24.0,no_habidos_42_4_24,Volcán Llaima,Samsung A8/T295,19927,355041991229985,10.a
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,GALAXY TAB A8 2019 LTE/ T295 SILVER,355041991230504,142681,42,4.0,25.0,no_habidos_42_4_25,Volcán Llaima,Samsung A8/T295,19927,355041991230504,10.a
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,GALAXY TAB A8 2019 LTE/ T295 SILVER,3588931991230590,142681,42,4.0,26.0,no_habidos_42_4_26,Volcán Llaima,Samsung A8/T295,19927,3588931991230590,10.a
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,GALAXY TAB A8 2019 LTE/ T295 SILVER,355041991236360,142681,42,4.0,27.0,no_habidos_42_4_27,Volcán Llaima,Samsung A8/T295,19927,355041991236360,10.a
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,GALAXY TAB A8 2019 LTE/ T295 SILVER,355041991238705,142681,43,5.0,2.0,no_habidos_43_5_2,Volcán Llaima,Samsung A8/T295,19927,355041991238705,10.a
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,GALAXY TAB A8 2019 LTE/ T295 SILVER,355041991239596,142681,43,5.0,3.0,no_habidos_43_5_3,Volcán Llaima,Samsung A8/T295,19927,355041991239596,10.a
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,GALAXY TAB A8 2019 LTE/ T295 SILVER,358893199779949,142681,43,5.0,4.0,no_habidos_43_5_4,Volcán Llaima,Samsung A8/T295,19927,358893199779949,10.a
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,GALAXY TAB A8 2019 LTE/ T295 SILVER,358893199781036,142681,43,5.0,5.0,no_habidos_43_5_5,Volcán Llaima,Samsung A8/T295,19927,358893199781036,10.a
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,GALAXY TAB A8 2019 LTE/ T295 SILVER,358893199782422,142681,43,5.0,6.0,no_habidos_43_5_6,Volcán Llaima,Samsung A8/T295,19927,358893199782422,10.a
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,GALAXY TAB A8 2019 LTE/ T295 SILVER,358893199785334,142681,43,5.0,7.0,no_habidos_43_5_7,Volcán Llaima,Samsung A8/T295,19927,358893199785334,10.a
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,GALAXY TAB A8 2019 LTE/ T295 SILVER,358893199786530,142681,43,5.0,8.0,no_habidos_43_5_8,Volcán Llaima,Samsung A8/T295,19927,358893199786530,10.a
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,GALAXY TAB A8 2019 LTE/ T295 SILVER,358893199786860,142681,43,5.0,9.0,no_habidos_43_5_9,Volcán Llaima,Samsung A8/T295,19927,358893199786860,10.a
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,GALAXY TAB A8 2019 LTE/ T295 SILVER,358893199787140,142681,43,5.0,10.0,no_habidos_43_5_10,Volcán Llaima,Samsung A8/T295,19927,358893199787140,10.a
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,GALAXY TAB A8 2019 LTE/ T295 SILVER,355041991226023,142681,43,5.0,11.0,no_habidos_43_5_11,Volcán Llaima,Samsung A8/T295,19927,355041991226023,10.a
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,GALAXY TAB A8 2019 LTE/ T295 SILVER,355041991238291,142681,43,5.0,12.0,no_habidos_43_5_12,Volcán Llaima,Samsung A8/T295,19927,355041991238291,10.a
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,GALAXY TAB A8 2019 LTE/ T295 SILVER,355041991237467,142681,43,5.0,13.0,no_habidos_43_5_13,Volcán Llaima,Samsung A8/T295,19927,355041991237467,10.a
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,GALAXY TAB A8 2019 LTE/ T295 SILVER,358893199781994,142681,43,5.0,14.0,no_habidos_43_5_14,Volcán Llaima,Samsung A8/T295,19927,358893199781994,10.a
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,GALAXY TAB A8 2019 LTE/ T295 SILVER,358893199779071,142681,43,5.0,15.0,no_habidos_43_5_15,Volcán Llaima,Samsung A8/T295,19927,358893199779071,10.a
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,GALAXY TAB A8 2019 LTE/ T295 SILVER,355041990304151,142681,43,5.0,16.0,no_habidos_43_5_16,Volcán Llaima,Samsung A8/T295,19927,355041990304151,10.a
