dependencia_original,decreto,fecha_decreto,factura,fecha_factura,modelo_original,serie_original,valor_clp,pagina_pdf,tabla,fila_tabla,id_fila,dependencia,familia,rbd,serie,clave_serie
Escuela Volcán Llaima,266,2020-09-16,1221,2020-08-13,Tablet Huawei Mediapad T3 7”,8JUBB20302212182,82367,67,5,8,con_comodato_67_5_8,Volcán Llaima,Huawei T3,19927,8JUBB20302212182,1221|8JUBB20302212182
Escuela Volcán Llaima,266,2020-09-16,1221,2020-08-13,Tablet Huawei Mediapad T3 7”,8JUBB20302212181,82367,67,5,9,con_comodato_67_5_9,Volcán Llaima,Huawei T3,19927,8JUBB20302212181,1221|8JUBB20302212181
Escuela Volcán Llaima,266,2020-09-16,1221,2020-08-13,Tablet Huawei Mediapad T3 7”,QQ15B92W09,82367,67,5,22,con_comodato_67_5_22,Volcán Llaima,Huawei T3,19927,QQ15B92W09,1221|QQ15B92W09
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,355041990295979,130900,67,5,23,con_comodato_67_5_23,Volcán Llaima,Samsung A8/T295,19927,355041990295979,2|355041990295979
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,355041990293891,130900,68,6,2,con_comodato_68_6_2,Volcán Llaima,Samsung A8/T295,19927,355041990293891,2|355041990293891
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,355041992257936,130900,68,6,3,con_comodato_68_6_3,Volcán Llaima,Samsung A8/T295,19927,355041992257936,2|355041992257936
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,355041992257621,130900,68,6,4,con_comodato_68_6_4,Volcán Llaima,Samsung A8/T295,19927,355041992257621,2|355041992257621
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,355041992254750,130900,68,6,5,con_comodato_68_6_5,Volcán Llaima,Samsung A8/T295,19927,355041992254750,2|355041992254750
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,355041992248364,130900,68,6,6,con_comodato_68_6_6,Volcán Llaima,Samsung A8/T295,19927,355041992248364,2|355041992248364
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,359041992249610,130900,68,6,7,con_comodato_68_6_7,Volcán Llaima,Samsung A8/T295,19927,359041992249610,2|359041992249610
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,355041992250782,130900,68,6,8,con_comodato_68_6_8,Volcán Llaima,Samsung A8/T295,19927,355041992250782,2|355041992250782
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,358893199669868,130900,68,6,9,con_comodato_68_6_9,Volcán Llaima,Samsung A8/T295,19927,358893199669868,2|358893199669868
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,355041990295268,130900,68,6,10,con_comodato_68_6_10,Volcán Llaima,Samsung A8/T295,19927,355041990295268,2|355041990295268
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,355041992254966,130900,68,6,11,con_comodato_68_6_11,Volcán Llaima,Samsung A8/T295,19927,355041992254966,2|355041992254966
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,355041992250931,130900,68,6,12,con_comodato_68_6_12,Volcán Llaima,Samsung A8/T295,19927,355041992250931,2|355041992250931
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,355041990288198,130900,68,6,13,con_comodato_68_6_13,Volcán Llaima,Samsung A8/T295,19927,355041990288198,2|355041990288198
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,355041990294980,130900,68,6,14,con_comodato_68_6_14,Volcán Llaima,Samsung A8/T295,19927,355041990294980,2|355041990294980
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,355041992247200,130900,68,6,15,con_comodato_68_6_15,Volcán Llaima,Samsung A8/T295,19927,355041992247200,2|355041992247200
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,355041992252465,130900,68,6,16,con_comodato_68_6_16,Volcán Llaima,Samsung A8/T295,19927,355041992252465,2|355041992252465
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,355041990295110,130900,68,6,17,con_comodato_68_6_17,Volcán Llaima,Samsung A8/T295,19927,355041990295110,2|355041990295110
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,355041992259486,130900,68,6,18,con_comodato_68_6_18,Volcán Llaima,Samsung A8/T295,19927,355041992259486,2|355041992259486
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,355041990296753,130900,68,6,19,con_comodato_68_6_19,Volcán Llaima,Samsung A8/T295,19927,355041990296753,2|355041990296753
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,355041992257068,130900,68,6,20,con_comodato_68_6_20,Volcán Llaima,Samsung A8/T295,19927,355041992257068,2|355041992257068
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,355041992250063,130900,68,6,21,con_comodato_68_6_21,Volcán Llaima,Samsung A8/T295,19927,355041992250063,2|355041992250063
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,355041992254677,130900,68,6,22,con_comodato_68_6_22,Volcán Llaima,Samsung A8/T295,19927,355041992254677,2|355041992254677
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,355041992257084,130900,68,6,23,con_comodato_68_6_23,Volcán Llaima,Samsung A8/T295,19927,355041992257084,2|355041992257084
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,355041992257076,130900,69,7,2,con_comodato_69_7_2,Volcán Llaima,Samsung A8/T295,19927,355041992257076,2|355041992257076
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,355041992254982,130900,69,7,3,con_comodato_69_7_3,Volcán Llaima,Samsung A8/T295,19927,355041992254982,2|355041992254982
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,355041992246038,130900,69,7,4,con_comodato_69_7_4,Volcán Llaima,Samsung A8/T295,19927,355041992246038,2|355041992246038
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,355041992257662,130900,69,7,5,con_comodato_69_7_5,Volcán Llaima,Samsung A8/T295,19927,355041992257662,2|355041992257662
Escuela Volcán Llaima,206,2021-08-24,2,2021-07-05,Tablet Samsung Galaxy 8 Tab 4g Lte,355041992246079,130900,69,7,6,con_comodato_69_7_6,Volcán Llaima,Samsung A8/T295,19927,355041992246079,2|355041992246079
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,355041991226635,142681,69,7,7,con_comodato_69_7_7,Volcán Llaima,Samsung A8/T295,19927,355041991226635,13960|355041991226635
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,355041991227260,142681,69,7,8,con_comodato_69_7_8,Volcán Llaima,Samsung A8/T295,19927,355041991227260,13960|355041991227260
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,355041991227641,142681,69,7,9,con_comodato_69_7_9,Volcán Llaima,Samsung A8/T295,19927,355041991227641,13960|355041991227641
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,355041991227849,142681,69,7,10,con_comodato_69_7_10,Volcán Llaima,Samsung A8/T295,19927,355041991227849,13960|355041991227849
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,355041991228474,142681,69,7,11,con_comodato_69_7_11,Volcán Llaima,Samsung A8/T295,19927,355041991228474,13960|355041991228474
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,355041991228524,142681,69,7,12,con_comodato_69_7_12,Volcán Llaima,Samsung A8/T295,19927,355041991228524,13960|355041991228524
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,355041991228896,142681,69,7,13,con_comodato_69_7_13,Volcán Llaima,Samsung A8/T295,19927,355041991228896,13960|355041991228896
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,355041991229985,142681,69,7,14,con_comodato_69_7_14,Volcán Llaima,Samsung A8/T295,19927,355041991229985,13960|355041991229985
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,355041991230504,142681,69,7,15,con_comodato_69_7_15,Volcán Llaima,Samsung A8/T295,19927,355041991230504,13960|355041991230504
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,3588931991230590,142681,69,7,16,con_comodato_69_7_16,Volcán Llaima,Samsung A8/T295,19927,3588931991230590,13960|3588931991230590
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,355041991236360,142681,69,7,17,con_comodato_69_7_17,Volcán Llaima,Samsung A8/T295,19927,355041991236360,13960|355041991236360
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,355041991238705,142681,69,7,18,con_comodato_69_7_18,Volcán Llaima,Samsung A8/T295,19927,355041991238705,13960|355041991238705
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,355041991239596,142681,69,7,19,con_comodato_69_7_19,Volcán Llaima,Samsung A8/T295,19927,355041991239596,13960|355041991239596
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199779949,142681,69,7,20,con_comodato_69_7_20,Volcán Llaima,Samsung A8/T295,19927,358893199779949,13960|358893199779949
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199781036,142681,69,7,21,con_comodato_69_7_21,Volcán Llaima,Samsung A8/T295,19927,358893199781036,13960|358893199781036
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199782422,142681,69,7,22,con_comodato_69_7_22,Volcán Llaima,Samsung A8/T295,19927,358893199782422,13960|358893199782422
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199785334,142681,69,7,23,con_comodato_69_7_23,Volcán Llaima,Samsung A8/T295,19927,358893199785334,13960|358893199785334
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199786530,142681,70,8,2,con_comodato_70_8_2,Volcán Llaima,Samsung A8/T295,19927,358893199786530,13960|358893199786530
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199786860,142681,70,8,3,con_comodato_70_8_3,Volcán Llaima,Samsung A8/T295,19927,358893199786860,13960|358893199786860
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199787140,142681,70,8,4,con_comodato_70_8_4,Volcán Llaima,Samsung A8/T295,19927,358893199787140,13960|358893199787140
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,355041991226023,142681,70,8,5,con_comodato_70_8_5,Volcán Llaima,Samsung A8/T295,19927,355041991226023,13960|355041991226023
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,355041991238291,142681,70,8,6,con_comodato_70_8_6,Volcán Llaima,Samsung A8/T295,19927,355041991238291,13960|355041991238291
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,355041991237467,142681,70,8,7,con_comodato_70_8_7,Volcán Llaima,Samsung A8/T295,19927,355041991237467,13960|355041991237467
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199781994,142681,70,8,8,con_comodato_70_8_8,Volcán Llaima,Samsung A8/T295,19927,358893199781994,13960|358893199781994
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199779071,142681,70,8,9,con_comodato_70_8_9,Volcán Llaima,Samsung A8/T295,19927,358893199779071,13960|358893199779071
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,355041990304151,142681,70,8,10,con_comodato_70_8_10,Volcán Llaima,Samsung A8/T295,19927,355041990304151,13960|355041990304151
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199802014,142681,70,8,11,con_comodato_70_8_11,Volcán Llaima,Samsung A8/T295,19927,358893199802014,13960|358893199802014
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199802428,142681,70,8,12,con_comodato_70_8_12,Volcán Llaima,Samsung A8/T295,19927,358893199802428,13960|358893199802428
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199800760,142681,70,8,13,con_comodato_70_8_13,Volcán Llaima,Samsung A8/T295,19927,358893199800760,13960|358893199800760
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199810520,142681,70,8,15,con_comodato_70_8_15,Volcán Llaima,Samsung A8/T295,19927,358893199810520,13960|358893199810520
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199816618,142681,70,8,16,con_comodato_70_8_16,Volcán Llaima,Samsung A8/T295,19927,358893199816618,13960|358893199816618
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199808615,142681,70,8,17,con_comodato_70_8_17,Volcán Llaima,Samsung A8/T295,19927,358893199808615,13960|358893199808615
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199808342,142681,70,8,18,con_comodato_70_8_18,Volcán Llaima,Samsung A8/T295,19927,358893199808342,13960|358893199808342
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199810488,142681,70,8,19,con_comodato_70_8_19,Volcán Llaima,Samsung A8/T295,19927,358893199810488,13960|358893199810488
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199808151,142681,70,8,20,con_comodato_70_8_20,Volcán Llaima,Samsung A8/T295,19927,358893199808151,13960|358893199808151
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199811908,142681,70,8,22,con_comodato_70_8_22,Volcán Llaima,Samsung A8/T295,19927,358893199811908,13960|358893199811908
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199812138,142681,70,8,23,con_comodato_70_8_23,Volcán Llaima,Samsung A8/T295,19927,358893199812138,13960|358893199812138
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,355041991226262,142681,71,9,3,con_comodato_71_9_3,Volcán Llaima,Samsung A8/T295,19927,355041991226262,13960|355041991226262
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,355041991234647,142681,71,9,4,con_comodato_71_9_4,Volcán Llaima,Samsung A8/T295,19927,355041991234647,13960|355041991234647
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,355041991233425,142681,71,9,5,con_comodato_71_9_5,Volcán Llaima,Samsung A8/T295,19927,355041991233425,13960|355041991233425
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,355041991236286,142681,71,9,6,con_comodato_71_9_6,Volcán Llaima,Samsung A8/T295,19927,355041991236286,13960|355041991236286
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,355041991225652,142681,71,9,7,con_comodato_71_9_7,Volcán Llaima,Samsung A8/T295,19927,355041991225652,13960|355041991225652
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,355041991226254,142681,71,9,8,con_comodato_71_9_8,Volcán Llaima,Samsung A8/T295,19927,355041991226254,13960|355041991226254
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199781366,142681,71,9,9,con_comodato_71_9_9,Volcán Llaima,Samsung A8/T295,19927,358893199781366,13960|358893199781366
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199785938,142681,71,9,10,con_comodato_71_9_10,Volcán Llaima,Samsung A8/T295,19927,358893199785938,13960|358893199785938
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199785391,142681,71,9,11,con_comodato_71_9_11,Volcán Llaima,Samsung A8/T295,19927,358893199785391,13960|358893199785391
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199788262,142681,71,9,12,con_comodato_71_9_12,Volcán Llaima,Samsung A8/T295,19927,358893199788262,13960|358893199788262
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199780004,142681,71,9,13,con_comodato_71_9_13,Volcán Llaima,Samsung A8/T295,19927,358893199780004,13960|358893199780004
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199782083,142681,71,9,14,con_comodato_71_9_14,Volcán Llaima,Samsung A8/T295,19927,358893199782083,13960|358893199782083
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199778594,142681,71,9,15,con_comodato_71_9_15,Volcán Llaima,Samsung A8/T295,19927,358893199778594,13960|358893199778594
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199787769,142681,71,9,16,con_comodato_71_9_16,Volcán Llaima,Samsung A8/T295,19927,358893199787769,13960|358893199787769
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199778685,142681,71,9,17,con_comodato_71_9_17,Volcán Llaima,Samsung A8/T295,19927,358893199778685,13960|358893199778685
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199802154,142681,71,9,18,con_comodato_71_9_18,Volcán Llaima,Samsung A8/T295,19927,358893199802154,13960|358893199802154
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199797453,142681,71,9,19,con_comodato_71_9_19,Volcán Llaima,Samsung A8/T295,19927,358893199797453,13960|358893199797453
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199797669,142681,71,9,20,con_comodato_71_9_20,Volcán Llaima,Samsung A8/T295,19927,358893199797669,13960|358893199797669
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199779212,142681,71,9,21,con_comodato_71_9_21,Volcán Llaima,Samsung A8/T295,19927,358893199779212,13960|358893199779212
Escuela Volcán Llaima,207,2021-08-24,13960,2021-07-02,Galaxy Tab A8 2019 Lte/ T295 Silver,358893199779980,142681,71,9,22,con_comodato_71_9_22,Volcán Llaima,Samsung A8/T295,19927,358893199779980,13960|358893199779980
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1D2H7K,349999,71,9,23,con_comodato_71_9_23,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1D2H7K,13985|HA1D2H7K
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E6L12,349999,72,10,2,con_comodato_72_10_2,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E6L12,13985|HA1E6L12
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E6J4T,349999,72,10,3,con_comodato_72_10_3,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E6J4T,13985|HA1E6J4T
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1DKAT8,349999,72,10,4,con_comodato_72_10_4,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1DKAT8,13985|HA1DKAT8
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1DPMZC,349999,72,10,5,con_comodato_72_10_5,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1DPMZC,13985|HA1DPMZC
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1D3BXY,349999,72,10,6,con_comodato_72_10_6,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1D3BXY,13985|HA1D3BXY
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1D39Z5,349999,72,10,7,con_comodato_72_10_7,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1D39Z5,13985|HA1D39Z5
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1D39TV,349999,72,10,8,con_comodato_72_10_8,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1D39TV,13985|HA1D39TV
